i_g,erm,RU_val,RU,Robust_val,Robust_mean,opt,z_erm,z_RU,z_opt,z_robust,l_wass_in,l_wass_out,z_wass,l_mom_in,l_mom_out,z_mom,l_wass_mom_in,l_wass_mom_out,z_was_mom
0,5.023750693761245,5.8426779742607655,3.4359234837896055,5.846741553359415,5.023622719960288,5.832021826209526,1.1312484741210938,1.1498613779112545,1.2537002563476562,1.1315039045488506,"[5.02362269e+00 5.54371527e+00 6.21474301e+00 7.76571019e+00
 1.15408592e+01 2.18607763e+01 5.61491057e+01 2.10853839e+02
 1.30571621e+03 1.59462951e+04]","[5.84673990e+00 6.22959293e+00 6.86053656e+00 8.36755236e+00
 1.21057340e+01 2.24221557e+01 5.68846838e+01 2.12763532e+02
 1.31590569e+03 1.60696407e+04]","[ 1.13151081  1.85710917  2.19552522  2.66356129  3.30592225  4.18753288
  5.39751367  7.05816175  9.337339   12.46543251]","[5.02362269 5.02719241 5.0407375  5.11412231 5.10124886 5.06259852
 5.16676818 5.16101371 5.02366769 5.11454571]","[5.84674155 5.83543455 5.89533406 6.01947297 5.99989121 5.93697686
 6.09642218 6.08816779 5.84498684 6.0201073 ]","[1.1315039  1.19515826 0.99823187 0.80975678 0.83409217 0.92343791
 0.72427755 0.73281561 1.13907707 0.80898945]","[[5.02362269e+00 5.02719232e+00 5.04072157e+00 5.11410040e+00
  5.10125793e+00 5.06259510e+00 5.16672008e+00 5.16099614e+00
  5.02366846e+00 5.11493440e+00]
 [5.54368449e+00 5.60403989e+00 5.38386499e+00 5.23803816e+00
  5.33157216e+00 5.23416435e+00 5.19693748e+00 5.22074558e+00
  5.19966322e+00 5.15058473e+00]
 [6.21483233e+00 6.12454237e+00 5.95385238e+00 5.69298578e+00
  5.86251674e+00 5.68533114e+00 5.61346757e+00 5.65986229e+00
  5.61692273e+00 5.52025089e+00]
 [7.76581045e+00 7.61131539e+00 7.31299251e+00 6.84292587e+00
  7.15107692e+00 6.82871516e+00 6.69587342e+00 6.78202149e+00
  6.70272029e+00 6.51810521e+00]
 [1.15411095e+01 1.12567794e+01 1.07026801e+01 9.81125242e+00
  1.03977371e+01 9.78394386e+00 9.52769306e+00 9.69434358e+00
  9.54222585e+00 9.18312655e+00]
 [2.18610050e+01 2.12539066e+01 2.00677036e+01 1.81446799e+01
  1.94118451e+01 1.80845891e+01 1.75247238e+01 1.78886290e+01
  1.75433069e+01 1.67652069e+01]
 [5.61524899e+01 5.45289707e+01 5.13444033e+01 4.61771582e+01
  4.95836133e+01 4.60175371e+01 4.45101808e+01 4.54937382e+01
  4.46235256e+01 4.24542258e+01]
 [2.10896537e+02 2.04711394e+02 1.92599980e+02 1.72946252e+02
  1.85913566e+02 1.72365818e+02 1.66637139e+02 1.70361849e+02
  1.66866745e+02 1.58813553e+02]
 [1.30602462e+03 1.26768410e+03 1.19266299e+03 1.07093963e+03
  1.15113623e+03 1.06741611e+03 1.03180584e+03 1.05489029e+03
  1.03311286e+03 9.83387955e+02]
 [1.59461747e+04 1.54812517e+04 1.45653794e+04 1.30775166e+04
  1.40595236e+04 1.30348105e+04 1.26009830e+04 1.28828870e+04
  1.26127910e+04 1.20093453e+04]]","[[5.84674257e+00 5.83543465e+00 5.89530141e+00 6.01944002e+00
  5.99990535e+00 5.93697087e+00 6.09635340e+00 6.08814233e+00
  5.84497513e+00 6.02068977e+00]
 [6.22956505e+00 6.28464202e+00 6.08680660e+00 5.96286151e+00
  6.04124728e+00 5.95970916e+00 5.92992853e+00 5.94888481e+00
  5.93207276e+00 5.89499024e+00]
 [6.86062195e+00 6.77437877e+00 6.61172176e+00 6.36647938e+00
  6.52525737e+00 6.35939681e+00 6.29326662e+00 6.33590079e+00
  6.29642989e+00 6.20838768e+00]
 [8.36765056e+00 8.21631285e+00 7.92501813e+00 7.46737958e+00
  7.76670034e+00 7.45353403e+00 7.32443647e+00 7.40808329e+00
  7.33106903e+00 7.15256410e+00]
 [1.21059837e+01 1.18224996e+01 1.12707883e+01 1.03864327e+01
  1.09678114e+01 1.03593243e+01 1.01048040e+01 1.02703160e+01
  1.01192353e+01 9.76347262e+00]
 [2.24223848e+01 2.18141571e+01 2.06256447e+01 1.87032880e+01
  1.99693422e+01 1.86433215e+01 1.80842031e+01 1.84476730e+01
  1.81027574e+01 1.73252465e+01]
 [5.68880938e+01 5.52523164e+01 5.20444984e+01 4.68422542e+01
  5.02713696e+01 4.66816148e+01 4.51648503e+01 4.61545032e+01
  4.52788888e+01 4.30967267e+01]
 [2.12806526e+02 2.06578512e+02 1.94383862e+02 1.74586080e+02
  1.87649411e+02 1.74001378e+02 1.68230724e+02 1.71982693e+02
  1.68462007e+02 1.60350286e+02]
 [1.31621647e+03 1.27758117e+03 1.20198351e+03 1.07932551e+03
  1.16013776e+03 1.07577495e+03 1.03989149e+03 1.06315302e+03
  1.04120854e+03 9.91102376e+02]
 [1.60695194e+04 1.56010010e+04 1.46780460e+04 1.31786773e+04
  1.41682783e+04 1.31356411e+04 1.26984587e+04 1.29825427e+04
  1.27103580e+04 1.21022459e+04]]","[[ 1.13149964  1.19515742  0.99829871  0.80979668  0.83407412  0.92344751
   0.72434817  0.73284215  1.13912924  0.80828594]
 [ 1.85708902  1.89546222  1.74132375  1.60679843  1.69712457  1.60262847
   1.56020954  1.58788097  1.56347285  1.50058059]
 [ 2.19556113  2.15835406  2.0823409   1.94795357  2.03815237  1.94359694
   1.90123151  1.92890434  1.90333244  1.84155499]
 [ 2.66358493  2.62642401  2.55037764  2.41598179  2.50618613  2.41156936
   2.36926135  2.39691897  2.37148863  2.30929962]
 [ 3.30595442  3.26882433  3.19273028  3.05828463  3.14854968  3.05388185
   3.01161646  3.03929454  3.01405919  2.95209405]
 [ 4.18754665  4.15041421  4.07434505  3.93997103  4.03015968  3.93552371
   3.89322942  3.92089605  3.8946576   3.83326945]
 [ 5.39758987  5.36048647  5.28432763  5.14987976  5.24012665  5.14548591
   5.10320881  5.1309573   5.10643831  5.04312321]
 [ 7.05841485  7.02120671  6.94497451  6.81034981  6.90079068  6.8061444
   6.76386122  6.79151532  6.76558374  6.70370242]
 [ 9.33763421  9.30038898  9.22413513  9.08956989  9.17983621  9.08545046
   9.04303749  9.07069532  9.04461991  8.9829599 ]
 [12.46542307 12.42843652 12.35220866 12.21751744 12.30802437 12.21342875
  12.1711179  12.19877416 12.17228869 12.11100577]]"
1,4.753085840231764,5.83528187214631,3.546050054269454,5.854490607271345,4.752964335239975,5.832021826209526,1.102370023727417,1.1964904768905475,1.2537002563476562,1.1024484809737802,"[4.75296425e+00 5.25438160e+00 5.92196026e+00 7.44721067e+00
 1.11596058e+01 2.12470964e+01 5.46651990e+01 2.05307137e+02
 1.27033949e+03 1.55141016e+04]","[5.85449058e+00 6.18333270e+00 6.78617949e+00 8.23701062e+00
 1.18610971e+01 2.18974405e+01 5.54725412e+01 2.07403017e+02
 1.28268551e+03 1.56637648e+04]","[ 1.10244857  1.82254154  2.16356004  2.63159475  3.27395426  4.15556727
  5.36554695  7.02619672  9.30537376 12.43345527]","[4.75296425 4.76372178 4.7753877  4.83290446 4.89757984 4.84980556
 5.02726324 4.78006978 4.88140024 4.79695253]","[5.85449061 5.89946366 5.92719633 6.03163325 6.13385303 6.05934312
 6.31809224 5.93703552 6.10904959 5.96943752]","[1.10244848 0.98990955 0.93947113 0.79525608 0.68706839 0.76371966
 0.5297145  0.92334399 0.71145889 0.87484094]","[[4.75296425e+00 4.76372171e+00 4.77539651e+00 4.83284996e+00
  4.89731586e+00 4.84976313e+00 5.02721787e+00 4.78006798e+00
  4.88141682e+00 4.79697146e+00]
 [5.25438164e+00 5.16176180e+00 5.03781942e+00 4.93363684e+00
  4.87583822e+00 4.87569153e+00 4.83729008e+00 4.86200335e+00
  4.98759913e+00 5.02104610e+00]
 [5.92196086e+00 5.76857654e+00 5.55388136e+00 5.35888808e+00
  5.23914514e+00 5.23883982e+00 5.15378842e+00 5.20904343e+00
  5.46272407e+00 5.52388469e+00]
 [7.44721074e+00 7.18443721e+00 6.80943130e+00 6.45428692e+00
  6.22946087e+00 6.22886700e+00 6.06239161e+00 6.17144152e+00
  6.64559149e+00 6.75587794e+00]
 [1.11596097e+01 1.06723970e+01 9.96670499e+00 9.28980009e+00
  8.85270118e+00 8.85148991e+00 8.52299474e+00 8.73852592e+00
  9.65531201e+00 9.86505775e+00]
 [2.12470969e+01 2.02156992e+01 1.87149092e+01 1.72625542e+01
  1.63150317e+01 1.63123306e+01 1.55939616e+01 1.60644738e+01
  1.80489092e+01 1.84978564e+01]
 [5.46652071e+01 5.19044381e+01 4.78714608e+01 4.39641797e+01
  4.14109082e+01 4.14039835e+01 3.94612851e+01 4.07371945e+01
  4.60811392e+01 4.72885235e+01]
 [2.05311197e+02 1.94879945e+02 1.79586986e+02 1.64772160e+02
  1.55083542e+02 1.55057302e+02 1.47682305e+02 1.52516762e+02
  1.72798797e+02 1.77375544e+02]
 [1.27037532e+03 1.20578013e+03 1.11097555e+03 1.01918467e+03
  9.59165699e+02 9.58992329e+02 9.13293107e+02 9.43245860e+02
  1.06892904e+03 1.09729656e+03]
 [1.55144033e+04 1.68669829e+04 1.35680045e+04 1.24468752e+04
  1.17137174e+04 1.17118042e+04 1.11533812e+04 1.15192901e+04
  1.30543966e+04 1.34008084e+04]]","[[5.85449060e+00 5.89946344e+00 5.92721523e+00 6.03154226e+00
  6.13345226e+00 6.05927462e+00 6.31803128e+00 5.93703182e+00
  6.10907509e+00 5.96947221e+00]
 [6.18333273e+00 6.10423957e+00 6.00225206e+00 5.92162030e+00
  5.88073919e+00 5.88064177e+00 5.85695276e+00 5.87177312e+00
  5.96281508e+00 5.98897271e+00]
 [6.78618005e+00 6.64398948e+00 6.44814953e+00 6.27392870e+00
  6.17026114e+00 6.16999826e+00 6.09749805e+00 6.14446957e+00
  6.36613876e+00 6.42106842e+00]
 [8.23701069e+00 7.98318279e+00 7.62293721e+00 7.28604260e+00
  7.07413380e+00 7.07357566e+00 6.91751098e+00 7.01973273e+00
  7.46678731e+00 7.57179750e+00]
 [1.18611009e+01 1.13822097e+01 1.06901603e+01 1.00285168e+01
  9.60221731e+00 9.60103528e+00 9.28049218e+00 9.49071452e+00
  1.03857257e+01 1.05907414e+01]
 [2.18974410e+01 2.08659877e+01 1.93656278e+01 1.79163488e+01
  1.69727975e+01 1.69701095e+01 1.62544536e+01 1.67233297e+01
  1.87007587e+01 1.91488749e+01]
 [5.54725493e+01 5.26953569e+01 4.86390745e+01 4.47084409e+01
  4.21402361e+01 4.21332729e+01 4.01802440e+01 4.14628327e+01
  4.68379486e+01 4.80526477e+01]
 [2.07407115e+02 1.96878799e+02 1.81444419e+02 1.66493821e+02
  1.56717201e+02 1.56690725e+02 1.49249243e+02 1.54127228e+02
  1.74593853e+02 1.79212627e+02]
 [1.28272168e+03 1.21750653e+03 1.12179256e+03 1.02912189e+03
  9.68528111e+02 9.68353081e+02 9.22216487e+02 9.52455878e+02
  1.07934295e+03 1.10798241e+03]
 [1.56640695e+04 1.70296950e+04 1.36988976e+04 1.25669552e+04
  1.18267263e+04 1.18247946e+04 1.12609858e+04 1.16304238e+04
  1.31803361e+04 1.35300889e+04]]","[[ 1.10244849  0.98990997  0.93943941  0.79536297  0.6874547   0.76379527
   0.52976129  0.92334991  0.71143329  0.87479219]
 [ 1.82254156  1.75709557  1.65498356  1.54719741  1.47131129  1.47109694
   1.41006181  1.45056279  1.60673741  1.63947232]
 [ 2.16356028  2.09810454  1.99600322  1.88820993  1.81232557  1.81211792
   1.75106309  1.7915155   1.94774479  1.98049302]
 [ 2.63159477  2.56607939  2.4640386   2.35624781  2.28036042  2.28015059
   2.21910626  2.25963683  2.41579351  2.44853678]
 [ 3.27395478  3.20853326  3.10639733  2.99860738  2.9227281   2.92250969
   2.86147104  2.90191572  3.05817004  3.09088826]
 [ 4.1555673   4.09012423  3.98800945  3.88022968  3.80434596  3.80412259
   3.74307752  3.78343178  3.93978378  3.97250268]
 [ 5.36554714  5.30016387  5.19798957  5.09019826  5.01431096  5.01409871
   4.95307536  4.99348982  5.1497622   5.18249316]
 [ 7.02622147  6.96095442  6.85864792  6.75084875  6.67495963  6.67474771
   6.61371257  6.65405733  6.81040562  6.84313532]
 [ 9.30540901  9.24017699  9.13781666  9.03002224  8.95415424  8.95392828
   8.89289552  8.93323315  9.08959009  9.12233038]
 [12.43347958 12.53796608 12.26591154 12.15810554 12.08221926 12.08201508
  12.0209469  12.06129732 12.21767476 12.25041232]]"
